Hat,Pen,Treatment,A2M Angle,A2M x,A2M y,A2M z,T2C Angle,T2C x,T2C y,T2C z,T2M Angle,T2M x,T2M y,T2M z
A,4,b,1.96479550052227,35.4191966410229,176.414459866577,72.8049003349708,0.951406520606493,-0.769169419032693,2.27818353350694,-2.79216242368039,1.56517592897988,0.517111850087231,2.48916524481853,64.690162239256
A,4,c,1.96409062209178,34.2656657983927,176.539961729395,72.7075306406826,2.02191108556673,-0.734975986051978,2.30282507942821,-2.76767471499133,0.025201481200521,0.108968724744734,2.54760004375715,64.7607262933606
A,5,a,1.81615496677164,123.558595089418,197.446670982857,72.8934085482515,0.855980493556073,-0.387494175255256,1.62725728428023,-3.9843605747744,1.57907334958802,0.364513366666485,1.88429477613031,64.8605529465661
A,5,b,1.96426856894655,34.9362162534679,177.039084056998,73.5421611017121,0.952372077736363,-0.228534139717141,3.11598346149114,-3.05784826256638,1.56538702513941,0.223226062070558,2.46261493766192,64.6899168875582
A,5,c,1.96280413789041,33.8536122196872,177.202825900007,73.2765250453559,2.02198458970404,-0.253118564465211,3.19754877741797,-2.94106089942127,0.0270280591225072,-0.188077484406616,2.61692374891717,64.7349524561897
A,6,a,1.81064105156067,122.605467577822,196.687595932155,73.0791662619592,0.856548126682495,-1.23419960834866,1.39605739584005,-3.05081366383035,1.5801284476835,0.20535626448387,1.68300689216994,64.7281536721304
A,6,b,1.96470199510167,35.0787128968384,176.42947776097,72.432198163411,0.951724625240405,-0.797819115278259,2.23107658839422,-2.3305891994705,1.5649583687241,0.514420360365973,2.44400363276665,64.6666123373788
A,6,c,1.96301018853374,34.1249951787105,176.466934856583,72.3557565807107,2.02201576788997,-0.805440891823167,2.23115041770393,-2.31268169391636,0.0252588148047601,0.0822122435076731,2.50601037196037,64.7405348928012
A,7,a,1.8104243396416,122.136229329416,197.011346618992,72.5653839071551,0.857302087206019,-1.28915607141946,1.47025080825213,-2.49957405452016,1.57902012637142,0.25747032347083,1.72736724286271,64.6622434838713
A,7,b,1.96463548618654,34.7949119267676,176.509237985173,71.9045735004702,0.952118843852665,-0.759525822927515,2.01861262524868,-1.81693947355865,1.56441322067307,0.511336116087584,2.41963860414829,64.6504082275888
A,7,c,1.9622835686174,33.9913675948011,176.471767469267,71.8298572329949,2.02210807372336,-0.799218548417002,1.99788903304767,-1.8058084713505,0.025577420127036,0.0652756973384294,2.47499782237149,64.7261523265968
B,1,a,1.87434429002354,68.6888015497908,-185.826788780366,73.6514217780208,2.31042694041885,0.25719381059551,-3.63111001946597,0.0293080849113361,0.019089660560821,0.680938518381348,-2.03174793944598,64.8486677814724
B,1,b,1.87313525204392,68.8758573838885,-185.842196102316,73.2404726737595,2.31090529449509,0.34714331982596,-3.64200739157427,0.0189370197624492,0.0218793539745522,0.483848033772057,-2.14221229932619,64.7966486571829
B,1,c,1.87752239050503,70.1713772070618,-185.467030208232,72.588082972114,2.31241839469411,0.138388215961129,-3.77897691718812,0.0687657805419238,0.0223301333748513,1.30542971784748,-2.14514132611962,64.6971225408006
B,2,a,1.87420112167039,68.8507683613911,-185.967983684025,73.408859065126,2.31068910490666,0.350394993084933,-3.52150874165418,0.195434515445613,0.0192919022055025,0.76531425474865,-2.09981826053178,64.8346967751968
B,2,b,1.87329994515637,68.7401713913136,-186.025385157535,73.0788027545011,2.31084697406888,0.449700994603006,-3.53862679473615,0.184520849647214,0.0222296625456952,0.493591713848319,-2.16313076371695,64.7852216847977
B,2,c,1.87734633221643,70.0701996693195,-185.584498563839,72.4430276486158,2.31246170637444,0.129609632129188,-3.66295025709228,0.255581899879138,0.0223173047607148,1.33248967867552,-2.22677735135649,64.6929155430056
B,3,a,1.874155556623,68.8128813556764,-185.868748833996,73.3757029378898,2.31059262367629,0.308509170644811,-3.40206579726153,0.0972281831346384,0.0190963554457504,0.727878146814089,-2.05083347545873,64.8440085619007
B,3,b,1.87320576681995,68.847661811025,-185.92638936155,72.9841688155723,2.31084873697252,0.412635779684649,-3.41634079464876,0.0873378542594208,0.0220175856610494,0.49697935324738,-2.14560525851844,64.7916379311249
B,3,c,1.87740175750894,70.1765408249031,-185.517586464169,72.3414148446243,2.31244689259219,0.150254039830941,-3.54728681531422,0.146166053348614,0.0223501830299045,1.33029476718109,-2.18188720105556,64.6959676920279
B,4,a,1.87404484307488,69.0124325577342,-186.043633874197,73.3959864885532,2.31071459194601,0.445030255305198,-3.5663615533412,0.241460300834411,0.0193778372250662,0.811371445680256,-2.11416007873297,64.8307275220671
B,4,b,1.87352771119954,68.7174424755346,-186.153683923522,73.0820383035922,2.31081274204522,0.54263267101112,-3.58893953961728,0.229280834570031,0.0224367339628717,0.505053677225794,-2.17691136524485,64.779441526466
B,4,c,1.87736458562395,70.0710235700425,-185.685282348087,72.4586836955351,2.31242290471591,0.182886037997832,-3.70602708652826,0.347390081948705,0.0223869917555075,1.37207335790094,-2.25413696660662,64.6928123524003
B,5,a,1.87319240250429,69.6450943263976,-185.834195550304,74.4587591032256,2.30940334106937,0.784614001791965,-4.3160748991224,-0.379766871120593,0.0185644301328751,0.738838268725348,-1.79901610818045,64.8841492982376
B,5,b,1.87466988935919,69.4253340849122,-186.233399001756,73.7521308061386,2.31079003377936,0.827461640891556,-4.35299632481115,-0.399167800526182,0.0221967655502892,0.571930213253077,-2.16474221777766,64.796357790539
B,5,c,1.87856827906435,70.8240449507684,-185.906295137534,73.1474677458538,2.31179511260491,0.782650099250787,-4.47976923253995,0.0354424411824755,0.0232112627044812,1.60768470673821,-2.00149974552935,64.7196543143705
B,6,a,1.87408332064546,68.7803583838041,-185.762110200109,73.2753036853303,2.31052535072061,0.263006595025473,-3.21272933237502,0.00187969945081701,0.0188951873868044,0.692799457908751,-2.00090633015288,64.8533759024648
B,6,b,1.87309068784903,68.9592897300504,-185.822917318678,72.8205273148645,2.31084171056223,0.37594523002474,-3.22402157122128,-0.00662430570704897,0.021796961008003,0.502204939635632,-2.12573478914267,64.7981020117641
B,6,c,1.87742980547817,70.2917597101618,-185.44424688868,72.170884959573,2.31244314265117,0.168014085686764,-3.36161283096362,0.0348350798247775,0.0223864761757389,1.3285259953086,-2.13881602387471,64.6989695291451
B,7,a,1.87387370900816,68.7335258181034,-185.528070093957,72.9531370053714,2.31042767764237,0.167832713480522,-2.70054282700007,-0.195134796527111,0.018478832176983,0.625072378090949,-1.8932229237339,64.8732174218222
B,7,b,1.87283105816748,69.2041390950654,-185.604556771757,72.3612742989324,2.31080989479426,0.305784709666483,-2.70567984917735,-0.200202627261193,0.0213331428921903,0.517328045156014,-2.08051574113444,64.8115809562928
B,7,c,1.87744968932914,70.5536920103401,-185.285383881323,71.6980080690018,2.31244868973533,0.206644409333705,-2.85698202534761,-0.199892298751987,0.0224824059144418,1.3288932759323,-2.05124661521197,64.7053385653098
